iter	Passed	Remaining
415	2716	3813
416	2723	3807
417	2730	3802
418	2735	3793
419	2741	3786
420	2748	3780
421	2754	3772
422	2759	3764
423	2765	3756
424	2770	3747
425	2774	3738
426	2779	3729
427	2783	3720
428	2788	3711
429	2793	3703
430	2797	3693
431	2802	3685
432	2807	3676
433	2812	3667
434	2816	3658
435	2820	3649
436	2827	3642
437	2832	3634
438	2841	3630
439	2846	3623
440	2851	3614
441	2857	3607
442	2865	3603
443	2874	3599
444	2879	3591
445	2885	3584
446	2912	3603
447	2922	3601
448	2929	3595
449	2937	3590
450	2944	3584
451	2950	3577
452	2959	3573
453	2964	3565
454	2972	3560
455	2979	3554
456	2986	3548
457	2991	3539
458	2995	3530
459	3001	3523
460	3008	3518
461	3016	3512
462	3021	3504
463	3025	3495
464	3030	3486
465	3037	3480
466	3042	3472
467	3047	3463
468	3052	3455
469	3056	3446
470	3064	3441
471	3069	3434
472	3075	3426
473	3082	3420
474	3088	3413
475	3092	3404
476	3098	3397
477	3102	3388
478	3107	3379
479	3112	3371
480	3116	3362
481	3121	3354
482	3125	3345
483	3130	3337
484	3134	3328
485	3138	3319
486	3144	3312
487	3149	3304
488	3153	3295
489	3159	3288
490	3165	3281
491	3170	3273
492	3175	3265
493	3180	3257
494	3185	3249
495	3190	3242
496	3196	3234
497	3200	3226
498	3205	3218
499	3212	3212
500	3218	3205
501	3225	3199
502	3230	3191
503	3234	3183
504	3241	3177
505	3245	3169
506	3250	3160
507	3255	3153
508	3261	3146
509	3267	3139
510	3275	3134
511	3281	3127
512	3287	3120
513	3292	3113
514	3297	3105
515	3302	3097
516	3307	3089
517	3311	3081
518	3316	3073
519	3320	3065
520	3324	3056
521	3328	3048
522	3334	3041
523	3338	3032
524	3343	3024
525	3348	3017
526	3353	3009
527	3357	3001
528	3362	2993
529	3367	2986
530	3371	2977
531	3375	2969
532	3381	2962
533	3385	2954
534	3389	2946
535	3394	2938
536	3399	2931
537	3404	2923
538	3408	2915
539	3414	2908
540	3419	2901
541	3425	2894
542	3431	2887
543	3437	2881
544	3443	2874
545	3447	2866
546	3452	2858
547	3456	2850
548	3462	2844
549	3466	2836
550	3471	2828
551	3476	2821
552	3480	2813
553	3485	2805
554	3489	2798
555	3494	2790
556	3498	2782
557	3502	2774
558	3507	2767
559	3511	2759
560	3515	2751
561	3520	2743
562	3525	2736
563	3531	2730
564	3535	2722
565	3541	2715
566	3546	2708
567	3551	2700
568	3555	2693
569	3560	2685
570	3564	2678
571	3570	2671
572	3574	2663
573	3579	2656
574	3583	2648
575	3588	2641
576	3595	2635
577	3601	2629
578	3610	2625
579	3614	2617
580	3619	2610
581	3624	2603
582	3630	2596
583	3639	2592
584	3644	2585
585	3649	2578
586	3655	2571
587	3661	2565
588	3667	2559
589	3674	2553
590	3679	2546
591	3685	2540
592	3691	2533
593	3697	2527
594	3703	2521
595	3709	2514
596	3715	2508
597	3723	2503
598	3729	2497
599	3736	2490
600	3741	2483
601	3749	2478
602	3756	2473
603	3762	2466
604	3771	2462
605	3778	2456
606	3783	2449
607	3789	2443
608	3798	2438
609	3803	2431
610	3809	2425
611	3819	2421
612	3829	2417
613	3835	2411
614	3847	2408
615	3854	2402
616	3865	2399
617	3876	2395
618	3882	2389
619	3895	2387
620	3903	2382
621	3913	2378
622	3929	2378
623	3942	2375
624	3947	2368
625	3957	2364
626	3964	2358
627	3971	2352
628	3977	2346
629	3987	2341
630	3992	2334
631	4000	2329
632	4006	2322
633	4014	2317
634	4022	2312
635	4030	2306
636	4038	2301
637	4046	2295
638	4053	2289
639	4062	2284
640	4068	2278
641	4072	2271
642	4080	2265
643	4086	2258
644	4092	2252
645	4098	2245
646	4103	2238
647	4111	2233
648	4118	2227
649	4126	2221
650	4135	2216
651	4143	2211
652	4149	2204
653	4160	2201
